"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"75694","17472","3009","5","0","2010-07-27 12:54:47.0","2010-07-27 12:29:54.0"
"75750","17472","3018","4","0","2010-07-27 12:48:59.0","2010-07-27 12:31:26.0"
"75941","17472","3019","4","0","2010-07-27 13:38:38.0","2010-07-27 12:39:55.0"
"75947","17472","3081","2","0","2010-07-27 12:39:55.0","2010-07-27 12:39:55.0"
"76229","17475","20000","0","0","2010-07-27 12:50:14.0","2010-07-27 12:50:14.0"
"76288","17472","3060","1","0","2010-07-27 12:53:05.0","2010-07-27 12:53:05.0"
"76769","17472","3028","2","0","2010-07-27 13:14:10.0","2010-07-27 13:14:10.0"
"76784","17472","2003","1","0","2010-07-27 13:14:50.0","2010-07-27 13:14:50.0"
"76939","17472","3033","6","0","2010-07-27 13:32:05.0","2010-07-27 13:17:45.0"
"77155","17472","2025","3","0","2010-07-27 13:31:15.0","2010-07-27 13:22:35.0"
"77292","17472","3020","2","0","2010-07-27 13:37:14.0","2010-07-27 13:25:27.0"
"77302","17472","3082","1","0","2010-07-27 13:25:27.0","2010-07-27 13:25:27.0"
"77774","17472","3057","1","0","2010-07-27 13:34:56.0","2010-07-27 13:34:56.0"
"78147","17475","3039","10","0","2010-07-27 14:07:55.0","2010-07-27 14:01:21.0"
"78157","17475","2000","0","0","2010-07-27 14:07:55.0","2010-07-27 14:07:55.0"
"78163","17475","20001","1","0","2010-07-27 14:08:31.0","2010-07-27 14:08:31.0"
"78167","17475","3060","0","0","2010-07-27 14:09:29.0","2010-07-27 14:09:29.0"
"83224","15111","1","499","500","2010-07-30 12:58:20.0","2010-07-27 16:13:20.0"
"83225","15111","100","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83226","15111","101","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83227","15111","102","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83228","15111","2000","504","500","2010-07-30 16:09:47.0","2010-07-27 16:13:20.0"
"83229","15111","2001","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83230","15111","2002","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83231","15111","2003","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83232","15111","2004","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83233","15111","2006","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83234","15111","2007","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83235","15111","2009","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83236","15111","2010","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83237","15111","2012","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83238","15111","2013","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83239","15111","2015","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83240","15111","2016","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83241","15111","2018","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83242","15111","2019","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83243","15111","2021","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83244","15111","2022","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83245","15111","2024","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83246","15111","2025","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83248","15111","2027","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
